"163056 - RawData - C:\Users\User\Documents\Marte\Analysis\23-022\23-022A Trial 2.spc"
"Wavelength nm.","Abs."
661.00,-0.000
661.50, 
662.00,-0.000
662.50, 
663.00,-0.000
663.50, 
664.00,0.000
664.50, 
665.00,0.000
665.50, 
666.00,0.000
666.50, 
667.00,0.000
667.50, 
668.00,-0.000
668.50, 
669.00,-0.000
669.50, 
670.00,0.000
670.50, 
671.00,0.000
671.50, 
672.00,-0.000
672.50, 
673.00,-0.000
673.50, 
674.00,0.000
674.50, 
675.00,-0.000
675.50, 
676.00,-0.000
676.50, 
677.00,0.000
677.50, 
678.00,0.000
678.50, 
679.00,0.000
679.50, 
680.00,0.000
680.50, 
681.00,0.000
681.50, 
682.00,0.000
682.50, 
683.00,0.000
683.50, 
684.00,0.000
684.50, 
685.00,0.000
685.50, 
686.00,0.000
686.50, 
687.00,0.000
687.50, 
688.00,-0.000
688.50, 
689.00,-0.000
689.50, 
690.00,-0.000
690.50, 
691.00,-0.000
691.50, 
692.00,-0.000
692.50, 
693.00,-0.000
693.50, 
694.00,-0.000
694.50, 
695.00,-0.000
695.50, 
696.00,-0.000
696.50, 
697.00,-0.000
697.50, 
698.00,0.000
698.50, 
699.00,0.000
699.50, 
700.00,-0.000
700.50, 
701.00,-0.000
701.50, 
702.00,-0.000
702.50, 
703.00,0.000
703.50, 
704.00,0.000
704.50, 
705.00,-0.000
705.50, 
706.00,-0.000
706.50, 
707.00,0.000
707.50, 
708.00,0.000
708.50, 
709.00,0.000
709.50, 
710.00,0.000
710.50, 
711.00,0.000
711.50, 
712.00,0.000
712.50, 
713.00,0.000
713.50, 
714.00,0.000
714.50, 
715.00,0.000
715.50, 
716.00,0.000
716.50, 
717.00,0.000
717.50, 
718.00,0.000
718.50, 
719.00,0.000
719.50, 
720.00,0.000
720.50, 
721.00,-0.000
721.50, 
722.00,-0.000
722.50, 
723.00,0.000
723.50, 
724.00,-0.000
724.50, 
725.00,-0.000
725.50, 
726.00,-0.000
726.50, 
727.00,-0.000
727.50, 
728.00,-0.000
728.50, 
729.00,-0.000
729.50, 
730.00,-0.000
730.50, 
731.00,-0.000
731.50, 
732.00,-0.000
732.50, 
733.00,-0.000
733.50, 
734.00,-0.000
734.50, 
735.00,-0.000
735.50, 
736.00,-0.000
736.50, 
737.00,-0.000
737.50, 
738.00,-0.000
738.50, 
739.00,-0.000
739.50, 
740.00,-0.000
740.50, 
741.00,-0.000
741.50, 
742.00,-0.000
742.50, 
743.00,-0.000
743.50, 
744.00,-0.000
744.50, 
745.00,-0.000
745.50, 
746.00,-0.000
746.50, 
747.00,-0.000
747.50, 
748.00,-0.000
748.50, 
749.00,-0.000
749.50, 
750.00,-0.000
750.50, 
751.00,-0.000
751.50, 
752.00,-0.000
752.50, 
753.00,-0.000
753.50, 
754.00,-0.000
754.50, 
755.00,-0.000
755.50, 
756.00,-0.000
756.50, 
757.00,-0.000
757.50, 
758.00,-0.000
758.50, 
759.00,-0.000
759.50, 
760.00,-0.000
760.50, 
761.00,-0.000
761.50, 
762.00,0.000
762.50, 
763.00,0.000
763.50, 
764.00,0.000
764.50, 
765.00,0.000
765.50, 
766.00,0.000
766.50, 
767.00,0.000
767.50, 
768.00,0.000
768.50, 
769.00,-0.000
769.50, 
770.00,-0.000
770.50, 
771.00,-0.000
771.50, 
772.00,-0.000
772.50, 
773.00,-0.000
773.50, 
774.00,-0.000
774.50, 
775.00,-0.000
775.50, 
776.00,0.000
776.50, 
777.00,0.000
777.50, 
778.00,0.000
778.50, 
779.00,0.000
779.50, 
780.00,-0.000
780.50, 
781.00,-0.000
781.50, 
782.00,0.000
782.50, 
783.00,-0.000
783.50, 
784.00,-0.000
784.50, 
785.00,0.000
785.50, 
786.00,0.000
786.50, 
787.00,0.000
787.50, 
788.00,0.000
788.50, 
789.00,0.000
789.50, 
790.00,0.000
790.50, 
791.00,0.000
791.50, 
792.00,0.000
792.50, 
793.00,-0.000
793.50, 
794.00,-0.000
794.50, 
795.00,0.000
795.50, 
796.00,0.000
796.50, 
797.00,0.000
797.50, 
798.00,0.000
798.50, 
799.00,0.000
799.50, 
800.00,0.000
800.50, 
801.00,0.000
801.50, 
802.00,0.000
802.50, 
803.00,0.000
803.50, 
804.00,0.000
804.50, 
805.00,0.000
805.50, 
806.00,0.000
806.50, 
807.00,0.000
807.50, 
808.00,0.000
808.50, 
809.00,0.000
809.50, 
810.00,0.000
810.50, 
811.00,0.000
811.50, 
812.00,0.000
812.50, 
813.00,0.000
813.50, 
814.00,0.000
814.50, 
815.00,0.000
815.50, 
816.00,0.000
816.50, 
817.00,0.000
817.50, 
818.00,0.000
818.50, 
819.00,0.000
819.50, 
820.00,0.000
820.50, 
821.00,0.000
821.50, 
822.00,0.000
822.50, 
823.00,0.000
823.50, 
824.00,0.000
824.50, 
825.00,0.000
825.50, 
826.00,0.000
826.50, 
827.00,0.000
827.50, 
828.00,0.000
828.50, 
829.00,0.000
829.50, 
830.00,0.000
830.50, 
831.00,-0.000
831.50, 
832.00,-0.000
832.50, 
833.00,-0.000
833.50, 
834.00,-0.000
834.50, 
835.00,-0.000
835.50, 
836.00,0.000
836.50, 
837.00,0.000
837.50, 
838.00,0.000
838.50, 
839.00,0.000
839.50, 
840.00,0.000
840.50, 
841.00,0.000
841.50, 
842.00,0.000
842.50, 
843.00,0.000
843.50, 
844.00,0.000
844.50, 
845.00,0.000
845.50, 
846.00,0.000
846.50, 
847.00,0.000
847.50, 
848.00,0.000
848.50, 
849.00,0.000
849.50, 
850.00,0.000
850.50, 
851.00,0.000
851.50, 
852.00,0.000
852.50, 
853.00,0.000
853.50, 
854.00,0.000
854.50, 
855.00,0.000
855.50, 
856.00,0.000
856.50, 
857.00,0.000
857.50, 
858.00,0.001
858.50, 
859.00,0.001
859.50, 
860.00,0.001
860.50, 
861.00,0.001
861.50, 
862.00,0.001
862.50, 
863.00,0.001
863.50, 
864.00,0.001
864.50, 
865.00,0.001
865.50, 
866.00,0.001
866.50, 
867.00,0.001
867.50, 
868.00,0.001
868.50, 
869.00,0.000
869.50, 
870.00,0.000
870.50, 
871.00,0.000
871.50, 
872.00,0.000
872.50, 
873.00,0.001
873.50, 
874.00,0.001
874.50, 
875.00,0.001
875.50, 
876.00,0.001
876.50, 
877.00,0.001
877.50, 
878.00,0.001
878.50, 
879.00,0.001
879.50, 
880.00,0.001
880.50, 
881.00,0.001
881.50, 
882.00,0.001
882.50, 
883.00,0.000
883.50, 
884.00,0.000
884.50, 
885.00,0.001
885.50, 
886.00,0.001
886.50, 
887.00,0.001
